# Cristhian Garcia-Quintero supplied the needed details about the best-fits expressed in the DESI DR2 Lya Full-Shape paper
#
# w0wa DESI DR2+CMB: w0 = -0.824, wa = -0.641, Om = 0.3134, h = 0.6737, obhh = 0.02242, ns = 0.9713, tau = 0.0610, sigam_8,cb = 0.819697
# LCDM DESI DR2+CMB (no low-ell EE), high tau: Om = 0.2997, h = 0.6843, obhh = 0.02251, ns = 0.9761, tau = 0.0908, sigma_8,cb = 0.833793
# LCDM DESI DR2+CMB:                           Om = 0.3041, h = 0.6812, obhh = 0.02247, ns = 0.9740, tau = 0.0675, sigma_8,cb = 0.819722
#
# In our v0..v3 language, the high tau model is v0 = +0.18, v1 = -0.18, v2 = +0.18, v3 = +0.06

#num  sigma8cb    ochh      ns     obhh      w0      wa     Nur     nrun
#
200  0.819697   0.1198   0.9713   0.02242  -0.824  -0.641  2.0328   0.000
201  0.833793   0.1178   0.9761   0.02251  -1.000   0.000  2.0328   0.000
210  0.819722   0.1186   0.9740   0.02247  -1.000   0.000  2.0328   0.000





