# columns: SSS BBB CCC PPP MMM
# SimName (with replacables)          BBB.par2       CCC PPP MMM
# Base cosmology, with variations
# Very High sigma8
AbacusAurora_small_cCCC_phPPP_mMMM     Small         133 300 000
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      133 300 002
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      133 300 003
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      133 300 006
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      133 300 007
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      133 300 010
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      133 300 011

# Low omega_m
AbacusAurora_small_cCCC_phPPP_mMMM     Small         131 300 000
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      131 300 002
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      131 300 003
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      131 300 006
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      131 300 007
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      131 300 010
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      131 300 011

# High omega_m
AbacusAurora_small_cCCC_phPPP_mMMM     Small         134 300 000
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      134 300 002
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      134 300 003
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      134 300 006
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      134 300 007
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      134 300 010
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      134 300 011

# Low ns
AbacusAurora_small_cCCC_phPPP_mMMM     Small         132 300 000
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      132 300 002
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      132 300 003
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      132 300 006
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      132 300 007
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      132 300 010
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      132 300 011

# High ns
AbacusAurora_small_cCCC_phPPP_mMMM     Small         135 300 000
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      135 300 002
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      135 300 003
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      135 300 006
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      135 300 007
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      135 300 010
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      135 300 011

# High theta_star
AbacusAurora_small_cCCC_phPPP_mMMM     Small         222 300 000
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      222 300 002
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      222 300 003
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      222 300 006
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      222 300 007
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      222 300 010
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      222 300 011

# Low theta_star
AbacusAurora_small_cCCC_phPPP_mMMM     Small         223 300 000
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      223 300 002
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      223 300 003
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      223 300 006
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      223 300 007
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      223 300 010
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      223 300 011
