# SimName (with replacables)     BBB.par2         CCC PPP
# Base cosmology, secondary suite
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  220 301
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  220 302
AbacusAurora_emulmed_cCCC_phPPP     EmulatorMed      221 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  221 301
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  221 302


# Moving to the 4-d sphere.  First the uni-parameter deltas, matching the phases to the tighter set
# sigma8
AbacusAurora_emulmed_cCCC_phPPP     EmulatorMed      130 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  130 301
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  130 302
AbacusAurora_emulmed_cCCC_phPPP     EmulatorMed      133 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  133 301
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  133 302

# omega_c
AbacusAurora_emulmed_cCCC_phPPP     EmulatorMed      131 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  131 301
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  131 302
AbacusAurora_emulmed_cCCC_phPPP     EmulatorMed      134 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  134 301
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  134 302

# n_s
AbacusAurora_emulmed_cCCC_phPPP     EmulatorMed      132 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  132 301
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  132 302
AbacusAurora_emulmed_cCCC_phPPP     EmulatorMed      135 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  135 301
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  135 302

# theta_s
AbacusAurora_emulmed_cCCC_phPPP     EmulatorMed      222 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  222 301
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  222 302
AbacusAurora_emulmed_cCCC_phPPP     EmulatorMed      223 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  223 301
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  223 302

# omega_b
AbacusAurora_emulmed_cCCC_phPPP     EmulatorMed      224 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  224 301
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  224 302
AbacusAurora_emulmed_cCCC_phPPP     EmulatorMed      225 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  225 301
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  225 302


# Next, the bi-parameter changes, letting the phases vary, but always matching for the symmetric pair (adjacent numbers)
AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     230 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  230 301
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  230 303
AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     231 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  231 301
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  231 303

AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     232 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  232 301
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  232 304
AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     233 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  233 301
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  233 304

AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     234 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  234 301
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  234 305
AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     235 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  235 301
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  235 305

AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     236 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  236 301
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  236 306
AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     237 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  237 301
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  237 306

AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     238 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  238 301
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  238 307
AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     239 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  239 301
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  239 307

AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     240 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  240 303
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  240 302
AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     241 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  241 303
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  241 302

AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     242 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  242 304
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  242 302
AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     243 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  243 304
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  243 302

AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     244 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  244 305
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  244 302
AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     245 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  245 305
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  245 302

AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     246 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  246 306
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  246 302
AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     247 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  247 306
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  247 302

AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     248 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  248 307
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  248 302
AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     249 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  249 307
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  249 302

AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     250 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  250 301
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  250 303
AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     251 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  251 301
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  251 303

AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     252 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  252 301
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  252 304
AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     253 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  253 301
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  253 304

# And now the bilateral changes involving omega_b

AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     254 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  254 302
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  254 304
AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     255 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  255 302
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  255 304

AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     256 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  256 302
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  256 305
AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     257 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  257 302
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  257 305

AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     258 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  258 302
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  258 306
